"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227155.7",14.1755131618104,-2.00676351281179,0.585483242103106,-3.42753364827885,0.000609090814413041,0.0403607465327886
"ENSG00000227191.8",49.2581724128958,-2.37606621244846,0.667622453461442,-3.55899685537716,0.000372273988535445,0.0319372936069958
"ENSG00000227467.3",15.934951843352,-2.60723968364785,0.651873511028813,-3.99960980088452,6.34470060829142e-05,0.0120776372692642
"ENSG00000228486.10",83.0419434191522,-1.71266282587335,0.411810054880784,-4.15886597613347,3.19831479481971e-05,0.00884124050402332
"ENSG00000228835.1",2.46572301771523,-4.80997282418663,1.25966659746524,-3.81844913079816,0.000134293268280616,0.0185166360562032
"ENSG00000229029.2",3.85393068991582,-2.22929301757966,0.599222387930808,-3.72030995917508,0.000198978421497622,0.0225018283517579
"ENSG00000229140.11",6.22476211085503,-3.20627868821676,0.632493235684043,-5.06926953100006,3.9934537360767e-07,0.000546958651610928
"ENSG00000231369.1",5.22217216978866,-1.25715852690432,0.3413586142399,-3.68280885397786,0.000230678127939075,0.0247999370544299
"ENSG00000232587.1",7.31974377616639,-1.48468331770345,0.427506510345584,-3.47289054499607,0.000514885291350516,0.0374045907007379
"ENSG00000233143.2",12.2662460422285,-2.66819131826922,0.512661159612481,-5.20459033855051,1.94425026287186e-07,0.000343168862224783
"ENSG00000233665.8",5.8298181233811,-3.05357354274473,0.829533805889578,-3.68107185152042,0.000232255537568099,0.0247999370544299
"ENSG00000234750.1",6.71659522860689,-2.13338463193598,0.538605323111499,-3.96094234570781,7.46545581800402e-05,0.0132666967124231
"ENSG00000234883.6",64.6386697247172,-2.08603944282201,0.553361189338852,-3.76976102229789,0.000163403934557088,0.020063181722797
"ENSG00000235111.1",5.63488474695769,-2.55124591575737,0.695551398115634,-3.66794736186157,0.000244505503462843,0.0253551768972751
"ENSG00000235505.7",153.156695806879,-1.84305266919984,0.448465961098217,-4.10968240418184,3.96203651861193e-05,0.0100995926139233
"ENSG00000236876.3",7.20963278618801,-1.69248788111601,0.471612377988711,-3.58872659011618,0.000332297106951034,0.0303132497530965
"ENSG00000236901.6",190.346135231356,-2.05897279139306,0.603031007534508,-3.41437300183148,0.000639289892160673,0.0412628454687762
"ENSG00000237484.6",14.8330010005669,-2.69464663279213,0.624186238497211,-4.31705549817913,1.5812441137025e-05,0.00567955858901681
"ENSG00000237757.2",5.38377261691709,-1.88743346027537,0.364241332120835,-5.18182120981598,2.1972978859078e-07,0.00035372618378611
"ENSG00000237928.6",33.4927884045454,-2.5285103952864,0.639537709155225,-3.95365333285248,7.69669014467864e-05,0.0135022640506039
"ENSG00000238113.7",43.7907632939535,-1.95811846360718,0.519889499894508,-3.76641279349652,0.000165609893058008,0.0202332408183862
"ENSG00000239219.2",3.90007779852894,-2.72609427976355,0.781916862075385,-3.48642472363095,0.000489523130983237,0.0366876215990348
"ENSG00000239961.3",43.5619982824794,-2.95289454127915,0.874536391042412,-3.37652563292354,0.000734075317017756,0.0443475479046908
"ENSG00000240143.1",5.75768502907609,-2.72748626868695,0.69195876338429,-3.94168903266306,8.09098320584006e-05,0.0139261595845425
"ENSG00000241560.7",5.45105926702942,-2.33512113018059,0.4672785950303,-4.99727818696504,5.81451599511486e-07,0.000723299360174129
"ENSG00000242747.1",4.96788091074685,-1.63120343474973,0.470819951280775,-3.46460134136703,0.000531018022550088,0.037954849018442
"ENSG00000242797.3",7.25382692262218,-2.29195751822141,0.520985354830769,-4.39927436917282,1.086134371205e-05,0.00461705829395618
"ENSG00000245648.2",78.3850793764677,-1.90233189408198,0.490805853537463,-3.87593562784755,0.000106215764245078,0.016512993131097
"ENSG00000248115.1",5.95976633885279,-4.5687895558711,0.679548598816067,-6.72327124775329,1.77689352865262e-11,1.21570612996591e-07
"ENSG00000248290.1",9.40549372852544,-3.06141163106243,0.765111478096943,-4.00126219342188,6.30054958979212e-05,0.0120776372692642
"ENSG00000248714.7",7.36442957369304,-2.12748187945275,0.571158291165343,-3.72485510997663,0.000195427434696229,0.0223776678047351
"ENSG00000248996.1",19.5881818412901,-1.9417884802691,0.536723833839591,-3.61785402071307,0.000297055854219788,0.0286250970508202
"ENSG00000249661.1",4.09829514935585,-1.96631923036961,0.555134068513008,-3.5420618944116,0.000397012306399533,0.0329243508764728
"ENSG00000251034.2",49.1412804564689,-1.31750959626364,0.389829941585128,-3.37970344429261,0.000725640802991429,0.0442732753737281
"ENSG00000251322.9",1442.21069389592,-1.46566769336953,0.408406353081025,-3.58874851557156,0.000332269165993533,0.0303132497530965
"ENSG00000251323.3",7.40410725855921,-2.14778011315026,0.603799310849723,-3.55710924897828,0.000374958246877529,0.0319372936069958
"ENSG00000253988.1",3.84582899042895,-2.88221375437676,0.709928510476146,-4.05986477771357,4.9101143473786e-05,0.0112824749138386
"ENSG00000254759.1",16.3397207269842,-1.27173338165815,0.303976333115416,-4.18365919683387,2.86854046515581e-05,0.00817743196978323
"ENSG00000256427.2",5.70344263200574,-2.74985794090621,0.751129391318884,-3.66096437269992,0.000251267700531601,0.0257544687657241
"ENSG00000258733.6",30.6869851833344,-1.58296586947633,0.476665585709391,-3.3209149494619,0.000897228744576946,0.0495686519133108
"ENSG00000260228.6",10.122903638672,-1.91405054970518,0.560274758829566,-3.41627124824202,0.000634849763130907,0.0410731287650202
"ENSG00000260510.1",3.62160860217117,-2.17587856907936,0.645796182107033,-3.36929611751519,0.000753604201914633,0.0450813576926832
"ENSG00000261416.1",5.35192715273993,-2.75378134408709,0.805962341329125,-3.41676180495703,0.000633706990930339,0.0410731287650202
"ENSG00000262319.1",2.92410563915459,-3.65299121561796,0.946070842995151,-3.86122375788795,0.00011282052092562,0.0171531066453969
"ENSG00000262406.3",969.63746471912,-3.99498508841647,0.831876086344834,-4.80238001066958,1.5679077496241e-06,0.00147961832358492
"ENSG00000264345.2",6.12854698051175,-3.73899398540788,0.740523056060616,-5.04912568866974,4.43836663040386e-07,0.000578403712258393
"ENSG00000265206.5",117.09018103523,-2.89761375062566,0.8281635815192,-3.49884227619647,0.000467282908084059,0.0357210372780348
"ENSG00000265743.1",32.2869652230195,-1.47730301563203,0.421673642493919,-3.50342745374068,0.000459311748748556,0.0355588598259562
"ENSG00000267287.1",20.857620827094,-1.97564144853587,0.546519520342134,-3.61495129633992,0.000300404090780544,0.0286451524473559
"ENSG00000267369.1",50.2487375808864,-2.0710250810823,0.585996445845955,-3.53419392858694,0.000409020853252554,0.0335139930867145
"ENSG00000267432.6",11.4652819565981,-2.62491594998386,0.786869212641152,-3.33589865738075,0.00085024151987764,0.0483753839386515
